企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
神木县宾馆有限公司,916108216641223341,1988-01-01,N/A,高礼信,"10,000(万)","住宿、饮食、洗浴、娱乐服务（项目在筹建中，筹建期间不得经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,榆林,"陕西省榆林市神木县神木镇驼峰路北"
合阳县饮食服务股份合作公司,91610524222480871R,1988-01-16,N/A,乔军,"23.7500(万)","日用机械、电子器具的销售及修理；炊事用具、农副产品的销售；房屋租赁。",陕西,渭南,"陕西省渭南市合阳县东街"
洋县农村信用合作联社关帝分社,91610723922672532Y,1988-01-18,N/A,刘亚明,"N/A","个人储蓄业务；农户、个体经济户、农村合作经济组及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务；代理收付款项及受托代办保险业务；办理联社授权的其它业务；办理银行业监督管理机构批准的其他业务。",陕西,汉中,"陕西省汉中市洋县关帝乡白刘村"
洋县农村信用合作联社八龙分社,916107239226725169,1988-01-18,N/A,段晓宇,"N/A","个人储蓄业务；农户、个体经济户、农村合作经济组及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务；代理收付款项及受托代办保险业务；办理联社授权的其它业务；办理银行业监督管理机构批准的其他业务。",陕西,汉中,"陕西省汉中市洋县洋县戚氏镇陶岭村"
洋县农村信用合作联社草庙分社,916107239226722849,1988-01-19,N/A,李宝军,"N/A","个人储蓄业务；农户、个体经济户；农业合作经济组织及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务和其他资金收付业务；中国银行业监督管理委员会批准的其他业务",陕西,汉中,"陕西省汉中市洋县磨子桥镇草庙乡"
洋县农村信用合作联社渡口分社,916107235637959005,1988-01-19,N/A,白玉柱,"N/A","个人储蓄业务；农户、个体经济户；农业合作经济组织及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务和其他资金收付业务；中国银行业监督管理委员会批准的其他业务",陕西,汉中,"陕西省汉中市洋县小江渡口"
洋县农村信用合作联社磨桥信用社,91610723922672196T,1988-01-19,N/A,钟晓东,"N/A","个人储蓄业务；农户、个体经济户、农村合作经济组织及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务和其他资金收付业务；办理经中国银行业监督管理委员会批准的其他业务",陕西,汉中,"陕西省汉中市洋县磨子桥镇"
陕西旅游文化产业股份有限公司,91610000220525511U,1988-01-19,N/A,魏铁平,"5,800(万)","企业管理；旅游景区点投资开发及运营（ 仅限以自有资产投资）；文化演艺；餐饮管理；索道经营；旅游规划；工业民用建筑、装饰设计制作",陕西,西安,"陕西省西安市碑林区长安路北段48号"
洋县农村信用合作联社沙溪分社,91610723922672276E,1988-01-19,N/A,李宝军,"N/A","个人储蓄业务；农户、个体经济户；农业合作经济组织及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务和其他资金收付业务；中国银行业监督管理委员会批准的其他业务",陕西,汉中,"陕西省汉中市洋县磨子桥镇沙溪街"
洋县农村信用合作联社小江分社,91610723922672567H,1988-01-19,N/A,钟晓东,"N/A","个人储蓄业务；农户、个体经济户；农业合作经济组织及企事业单位的存款、贷款及结算；代理发行、兑付国库券业务和其他资金收付业务；中国银行业监督管理委员会批准的其他业务",陕西,汉中,"陕西省汉中市洋县磨子桥镇牛砭村"
蒲城县罕井供销合作社第四零售门市部,91610526MA6Y2BXC8X,1988-01-23,集体分支机构(非法人),张大林,"N/A","针织、糕点、糖、饮料、罐头、干鲜果品、茶叶、五金交电零售。",陕西,渭南,"陕西省渭南市蒲城县罕井街"
西安市石油总公司石油化工产品经销公司,91610104220811454M,1988-01-27,N/A,郭健飞,"115(万)","一般经营项目：石油化工产品",陕西,西安,"莲湖路甲字141号"
