企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
九江市庐山区天宏房地产开发有限公司,913604027056424090,1993-01-01,N/A,熊萍,"5,000(万元人民币)","房地产开发(四级，凭资质证书经营)、物业服务、房屋租赁（以上项目涉及行政许可的凭许可证经营）",江西,九江,"九江市濂溪区濂溪大道北侧南山雅苑"
中国农业银行股份有限公司南昌八一支行,91360121794770241Q,1993-01-01,N/A,罗冬冬,"N/A","经营中国银行业监督委员会依照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列的为准。",江西,南昌,"江西省南昌市南昌县莲塘镇莲塘中大道272号"
江西省资溪县物资总公司,9136102816292349XR,1993-01-03,N/A,单新华,"50(万元人民币)","金属材料、机电产品、五金交电（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,抚州,"江西省抚州市资溪县鹤城镇建设路42号"
江西华泰塑胶电子玩具制品有限公司,91360100612448850X,1993-01-03,N/A,潘树龙,"600(万美元)","生产销售塑胶玩具、电子玩具、塑胶制品（以上项目依法需经批准的项目，需经相关部门批准后方可开展经营活动）",江西,南昌,"江西省南昌市新建县长堎镇"
江西昌宇建设工程公司,91360121158636631L,1993-01-03,N/A,胡裕龙,"10,010(万元人民币)","房屋建筑工程施工；建筑装修装饰工程；钢结构工程；公路工程；市政公用工程；地基与基础工程；水利水电工程；园林绿化工程；消防设施工程；建筑智能化工程；土地整理。",江西,南昌,"江西省南昌市南昌县江西千亿建筑科技产业园27号-2"
万年县神农实业有限公司为民大药房城北店,91361129322689832T,1993-01-03,N/A,徐风娥,"N/A","中药饮片、中成药、化学药制剂、抗生素、生化药品、生物制品、预包装食品、乳制品",江西,上饶,"江西省上饶市万年县陈营镇六O北街（城北农村信用社老营业厅）"
江西大明房地产开发有限公司,91360000612447815W,1993-01-04,N/A,洪震,"5,000(万元人民币)","房地产开发，物业管理",江西,南昌,"江西省南昌市青云谱区施尧路1111号"
中国建设银行股份有限公司南昌昌北支行,91360108858410203N,1993-01-06,N/A,王悦,"N/A","办理人民币存款、贷款、结算业务；办理票据贴现；代理发行金融债卷；代理发行、代理兑付、销售政府债卷；买卖政府债卷；代理收付款项及代理保险业务；其总行在中国银行业监督管理机构等监管部门批准的从业范围内授权的其他业务。",江西,南昌,"江西省南昌经济技术开发区庐山中大道1号"
中国建设银行股份有限公司九江环城支行,91360400680921996N,1993-01-06,N/A,沈菁,"N/A","经营中国银行监督管理委员会批准的业务",江西,九江,"江西省九江市浔阳区交通路5-1号"
宜黄县地产公司,913610261628438288,1993-01-07,N/A,谢季,"30(万元人民币)","土地开发、转让、出租；土地测绘；建筑材料零售.（依法须经批准的项目，经相关部门批准后方可开展经营活动）",江西,抚州,"江西省抚州市宜黄县解放大道55号"
