企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
秦川劳动服务公司分厂综合加工厂,91610102X24006116W,1987-01-01,集体所有制,李建,"11万人民币","一般经营项目：冲压、木器、除铜剂、包装箱、聚苯乙烯。",陕西,西安,"西安市新城区秦川劳动服务公司分厂分厂院内"
国营宝成通用电子公司劳动服务公司宝成木器厂,91610302221303873Q,1987-01-04,集体所有制,赵立文,"28.5万人民币","木制包装制品制造。",陕西,宝鸡,"陕西省宝鸡市渭滨区清姜西三路6号"
勉县农村信用合作联社张家河分社,9161072570999919X9,1987-01-07,N/A,陈登忠,"N/A","中国银行业监督管理委员会以照有关法律、行政法规和其他规定批准的业务，经营范围以批准文件所列的为准，《保险兼业代理委托书》委托代理的保险业务。",陕西,汉中,"勉县张家河乡张家河村"
延安盾腾化工有限责任公司,91610602223531351X,1987-01-10,N/A,侯俊海,"869.3000(万)","化工产品销售（不含危险品）(以上经营范围中涉及国家专项专营规定的从其规定)（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,延安,"延安市宝塔区万花乡锁崖村"
中国农业银行股份有限公司岐山县北环路分理处,9161032355568758XA,1987-01-13,N/A,唐向阳,"N/A","吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；结汇、售汇；从事银行卡业务；提供信用证明服务及担保；代理收付款项及代理保险业务；提供保管箱业务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇借款；发行、代理发行、买卖或代理买卖股票以外的外币有价政证券；外汇票据承兑和贴现；自营、代客外汇买卖；外币兑换；外汇担保；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；产业投资基金托管业务；合格境外机构投资者境内证券投资托管业务；代理开放式基金业务；电话银行、网上银行、手机银行业务；金融衍生产品交易业务；黄金业务；办理经中国银行业监督管理机构等监管部门批准的业务。",陕西,宝鸡,"陕西省宝鸡市岐山县凤鸣镇北环路中段"
吴起县机械厂,91610626223720320N,1987-01-15,股份合作制,刘志清,"502万人民币","电焊、电镀、农业机械制造、铸造、石油机械加工、民用建筑材料、自营和代理各类商品的进出口业务。",陕西,延安,"陕西省延安市吴起县机械厂院内"
西安东方航空食品有限公司,91610000623900072F,1987-01-17,N/A,张兰海,"255.1000(万美元)","食品加工（糕点、蛋糕、面包、面食、三明治、肉酱、沙拉、蔬菜、预包装食品与散装食品的生产），食品流通（预包装食品与散装食品的供应销售），餐饮服务（航空配餐、集体用餐配送、中央厨房、小型餐馆、餐饮具清洗消毒服务），机上供应品；连锁经营；场地租赁；会议、会务服务；劳务服务；日用品、电器、酒类的销售；系统内员",陕西,西咸新区,"陕西省西咸新区空港新城咸阳国际机场空港东二路"
陕西华威建材设备制造有限公司,91610000220526960U,1987-01-17,有限责任公司,王月林,"300万人民币","建材、环保设备及非标准设备的研发、生产、销售、技术服务、咨询；机械加工、制造；房屋、场地租赁；仓储服务",陕西,西安,"陕西省西安市莲湖区大兴西路200号"
中建七局第四建筑有限公司,916100001763990275,1987-02-03,N/A,李俊杰,"50,000(万)","建筑工程、钢结构工程、桥梁工程、隧道工程、市政公用工程、消防设施工程、起重设备安装工程、建筑装修装饰工程、电力工程、机电工程、建筑幕墙工程、特种工程、建筑机电安装工程、古建筑工程、地基基础工程、电子与智能化工程的施工；建材及施工质量检验试验；水暖、五金材料的销售；建筑工程设计；景观园林绿化设计、施工与维护。",陕西,西安,"陕西省西安市未央区未央路68号"
中国工商银行股份有限公司咸阳渭城桥支行,916104047869969100,1987-02-04,N/A,王栋,"N/A","办理人民币存款、贷款、结算业务；办理银行卡业务；电子银行业务；个人理财业务；办理票据贴现；代理发行金融债券；代理发行、代理兑付、销售政府债券；买卖政府债券；代理收付款项；办理银证转帐、第三方存管业务；黄金买卖业务；投资银行业务；国内贸易融资业务；代理保险业务；代理开放式基金业务；个人资信证明业务；资信调查、咨询业务；其总行在中国银行业监督管理委员会批准的业务范围授权的业务；经中国银行业监督管理委员会核准的其他业务。",陕西,咸阳,"陕西省咸阳市渭城区人民东路6号博通商厦一层"
宝鸡市陈仓区教育系统劳动服务公司,91610304221409395F,1987-02-17,N/A,朱小卫,"59(万)","其他印刷品印刷",陕西,宝鸡,"陕西省宝鸡市陈仓区虢镇体育场"
陕西省商业储运总公司蒲石仓库,9161052622239106XB,1987-02-17,N/A,张天成,"15(万)","日用百货、蜂窝煤加工。",陕西,渭南,"蒲城县蒲石村西"
安康铁路东达运贸服务公司,916109002229105794,1987-02-25,N/A,祝宏,"70(万)","货物装卸、仓储、过磅；代办运输业务；文化用品、日用品、五金、建材、矿产品、化工产品(危险品除外)、饲料的销售；机械设备、家用电器、电子产品、五金工具的维修；机械设备零配件的加工；劳务输出（境内）；编织袋销售；煤炭销售；货物配送服务；计算机信息服务；火车票代售；货物运输",陕西,安康,"陕西省安康市汉滨区火车东站货场"
中国工商银行股份有限公司咸阳新兴南路支行,91610404677928353C,1987-02-28,N/A,张军林,"N/A","办理人民币存款、贷款、结算业务；办理银行卡业务；电子银行业务；个人理财业务；办理票据贴现；代理发行金融债券；代理发行、代理兑付、销售政府债券；买卖政府债券；代理收付款项；办理银证转帐、第三方存管业务；黄金买卖业务；投资银行业务；国内贸易融资业务；代理保险业务；代理开放式基金业务；个人资信证明业务；资信调查、咨询业务；其总行在中国银行业监督管理委员会批准的业务范围授权的业务；经中国银行业监督管理委员会核准的其他业务。",陕西,咸阳,"陕西省咸阳市渭城区新兴路什字西北角"
陕西省水电物资总公司,91610000220521641P,1987-02-28,N/A,陈朝印,"3,000(万)","金属材料、水电机电设备、防汛抗旱物资、轻化产品、建筑材料、仪器仪表、生物检测仪器、试剂、施工机械、农业机械、渔业机械仪器设备、渔需物资、农副产品、防汛抗旱专用车、活鱼运输车和汽车的销售；粉煤灰研究生产与销售；水利水电、农田整治、水保生态、建筑装饰、信息网络工程的施工；货物运输；物业管理；水产养殖；苗种繁育；水利水电设备监造；水利技术咨询；自营和代理各类商品和技术的进出口业务",陕西,西安,"陕西省西安市莲湖区北关正街217号"
铜川市王益区农村信用合作联社山城信用社,91610202221182004K,1987-03-05,N/A,史平安,"N/A","经银行业监督管理机构批准的金融业务（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,铜川,"陕西省铜川市王益区七一路67号(山城路口)"
蒲城发电厂兴秦总公司,9161052622239595XA,1987-03-06,N/A,王洪涛,"720(万)","建筑施工、水暖安装、建材加工、燃料经销、发电、汽车运输、汽车修理、印刷、金属加工、木器制造、水泥构件预制、保湿材料制造、汽车配件、金属建材。水暖器材、五金交电、日用百货、饮食服务、技术培训、技术咨询、生活服务。 ",陕西,渭南,"陕西省渭南市蒲城县蒲城孙镇"
陕西现代公路机械工程有限公司,916100002205238070,1987-03-06,有限责任公司,张凌,"5200万人民币","高科技筑路机械产品、工程机械产品及配件的研制、开发、生产、销售；交通安全设施产品的生产、销售、安装施工；一级和高速公路的路面、路基、中小桥、涵洞、中短隧道、绿化及沿线设施等的中、大修养护；大型机械修理及配件销售；公共空间导向标识系统的研究、设计、制作、安装；建筑劳务分包；市政工程、水利工程、建筑工程...",陕西,西安,"陕西省西安市雁塔区东郊康宁路6号"
宝鸡市陈仓区秦宝建筑工程公司,91610304221401561H,1987-03-09,N/A,史文礼,"503(万)","工业与民用建筑、水电安装、室内外装饰装璜、市政工程、水利工程、道路桥涵、混凝土预制构件制造、建筑机具租赁。",陕西,宝鸡,"陕西省宝鸡市陈仓区千渭街道办事处李家崖村（李家崖建筑公司院内）"
陕西省烟草公司安康市公司,916109002229102026,1987-03-12,N/A,雷学锋,"3,409(万)","卷烟、雪茄烟的全国购进本地批发、调拨、零售；烟叶、烟丝的收购、调拨；烟用物资(化肥、农地膜、非剧毒农药)的批发与零售；烟草专卖品运输、货物运输、货物配送。",陕西,安康,"陕西省安康市汉滨区育才路141号"
中国银行股份有限公司宝鸡联盟路支行,91610303797901796A,1987-03-13,N/A,陈银辉,"N/A","办理公众人民币存款业务；办理结算业务；代理发行、兑付金融债券、政府债券；代理收付款项；办理外汇存款、汇款和外币兑换业务；授权办理开放式基金业务；经中国银行业监督管理部门批准的其他业务；代理财产损失保险、责任保险、保证保险、信用保险、人寿保险、健康保险、意外伤害保险",陕西,宝鸡,"陕西省宝鸡市金台区联盟路2号轩辕世家"
铜川矿务局中心医院劳动服务公司,916102002211442005,1987-03-13,N/A,赵根生,"22(万)","建筑安装，建筑材料、油漆的销售，房屋租赁，打字复印，停车，劳务服务。",陕西,铜川,"陕西省铜川市王益区川口"
西北有色勘测工程公司,91610000220600147R,1987-03-14,N/A,李忠民,"520(万)","岩土工程勘察、设计、测试监测检测及咨询；水文地质勘察；勘察劳务类工程钻探及凿井；地质灾害危险性评估；地质灾害治理工程勘查、设计；水文地质、工程地质、环境地质调查；液体矿产勘查；地质钻探；古文化遗址古墓葬、古建筑、石窟寺和石刻、近现代史迹及代表性建筑中的岩土工程勘察、设计；控制测量、地形测量、建筑工程测量、线路与桥隧等工程测量。",陕西,西安,"陕西省西安市碑林区雁塔中路78号"
中国外运陕西宝鸡公司,916103032213083755,1987-03-18,N/A,王明轩,"99.6000(万)","承办海运、陆运进出口货物的国际运输代理业务，包括：揽货、订舱、仓储、中转、集装箱拼装拆箱、结算运杂费、报关、报验、保险、相关的短途运输服务及咨询业务;农副产品（不含粮棉），矿产品；进口汽车配件、金属材料",陕西,宝鸡,"陕西省宝鸡市金台区中山东路259号"
宝鸡市土畜产品对外贸易公司,91610303221308367A,1987-03-18,N/A,王彦明,"216.2000(万)","土畜产品、木制品、矿产品（除专控产品）、纺织服装、有色金属（除专控）、建筑材料、机电产品（不含汽车）、化工原料",陕西,宝鸡,"宝鸡市金台区中山东路259号"
陕西省工业品有限公司,91610000220521721B,1987-03-21,有限责任公司,李俊峰,"3900万人民币","日用百货、家用电器、纺织品、五金交电、通讯器材、家俱用具、装饰品、工艺礼品、土特产品、农副产品、鲜果、疏菜、茶叶的销售；批发兼零售预包装食品兼散装食品；房屋租赁；物流仓储（危险、易燃易爆化学品除外）；自营和代理各类商品和技术的进出口业务",陕西,西安,"陕西省西安市碑林区柿园路49号"
千阳县五金交电化工公司,91610328221580045H,1987-03-27,N/A,何荣昌,"49(万)","许可经营项目：无。 一般经营项目：五金交电、化工(不含专控）、百货针织、纺织品、服装、电信器材、民用建材、家俱、日用杂品",陕西,宝鸡,"陕西省宝鸡市千阳县城关镇西大街3号"
宝鸡天健医药有限公司新特药分公司,91610303710085491H,1987-03-31,N/A,王东成,"N/A","中成药、中药饮片、化学药制剂、化学原料药、抗生素、生化药品、生物制品",陕西,宝鸡,"陕西省宝鸡市金台区中山东路153号"
陕西省外国企业服务公司,916100002205285363,1987-04-06,N/A,冯馨莹,"500(万)","提供人才供求信息，办理人才求职登记、推荐；接受委托进行招聘人才活动；提供法律法规和政策咨询；人才培训；人才测评；人才派遣；人才信息网络服务；劳务派遣；劳动保障事务代理；人力资源服务外包；人力资源代理服务；以外包形式从事项目管理；劳务外包与分包；商务代理、咨询；管理咨询；信息咨询；财税咨询、代理；物业管理及服务；市场营销、营销策划；计算机软硬件开发、销售及管理；接受金融机构委托从事金融业务流程外包、信息技术外包及知识流程外包；承包境内外工程项目；电力信息技术服务；铁",陕西,西安,"陕西省西安市雁塔区科技路33号高新国际商务中心17层1702室"
陕西铜川房地产开发有限责任公司,916102006679989808,1987-04-06,N/A,李增荣,"11,119.4000(万)","房地产开发、经营，晒图、复印,材料设备供应，广告制作、宣传、发布，造价咨询、装饰装修。",陕西,铜川,"陕西省铜川市王益区红旗街"
西安长乐中西医药有限公司,91610102220643550J,1987-04-16,N/A,张小霞,"45(万)","许可经营项目：化学药制剂、抗生素、生化药品、中成药、中药材、中药饮片、医疗器械、保健食品、预包装食品兼散装食品、乳制品",陕西,西安,"西安市新城区长乐西路211号"
西安市长安区农村信用合作联社郭杜信用社,9161011622096563XY,1987-04-20,N/A,陈小斌,"N/A","许可经营项目：办理存款、贷款、票据贴现、国内结算业务；办理个人储蓄业务；代理收付款项及受托代办保险业务；买卖政府债券；代理发行、代理兑付、承销政府债券；提供保险箱业务；由县联社统一办理资金融通调剂业务，办理银行卡",陕西,西安,"西安市长安区郭杜街办东街"
中国建设银行股份有限公司宝鸡宝石钢支行,91610302555686229G,1987-04-23,N/A,朱亚昕,"N/A","办理人民币存款、贷款、结算业务；办理票据承兑和贴现；从事银行卡业务；办理电子银行业务；代理发行、兑付、承销政府、金融债券；代理收付款项、投资基金业务，办理经中国银行业监督管理委员会批准的其它金融业务；意外伤害保险、健康保险、人寿保险、信用保险、保证保险、责任保险",陕西,宝鸡,"陕西省宝鸡市渭滨区姜谭路宝管五区1-4号"
安康市市庆商业服务公司,91610900222910472Q,1987-05-01,N/A,王国庆,"10(万)","日用品、文化用品、针织品的零售；房屋出租。",陕西,安康,"陕西省安康市汉滨区大桥南路20号"
蒲城县西头供销合作社五金门市部,91610526MA6TGUJUXM,1987-05-07,集体分支机构(非法人),王东海,"N/A","五金交电、中小农具、日用杂品零售。",陕西,渭南,"陕西省渭南市蒲城县西头街"
蒲城县马湖供销合作社文杂门市部,91610526MA6TH6N50U,1987-05-07,集体分支机构(非法人),张青贤,"N/A","文化体育用品、百货、日用杂品、干鲜果品零售。",陕西,渭南,"陕西省渭南市蒲城县蒲城县马湖街"
蒲城县马湖供销合作社五金生产门市部,91610526MA6TGK2Y70,1987-05-07,集体分支机构(非法人),张成会,"N/A","五金、交电、化工、农业生产资料、日用杂品的零售。",陕西,渭南,"陕西省渭南市蒲城县蒲城县马湖街"
蒲城县马湖供销合作社生产日杂门市部,91610526MA6TGTPBXA,1987-05-07,集体分支机构(非法人),申发全,"N/A","农业生产资料、日用杂品的零售。",陕西,渭南,"陕西省渭南市蒲城县马湖街"
榆林市烟草公司吴堡分公司,916108296611975762,1987-05-08,N/A,李定勇,"N/A","许可经营项目：卷烟、雪茄烟本地批发。一般经营项目：无。",陕西,榆林,"陕西省榆林市吴堡县宋家川镇友谊路30号"
宝鸡市渭滨区秦岭电器厂,91610302221346072W,1987-05-08,集体所有制,李锁利,"3万人民币","电机断相保护器制造；家用电器修理。",陕西,宝鸡,"宝鸡市渭滨区神农镇益门供销社南侧"
西安西北航空中心有限公司,91610000623101916B,1987-05-12,N/A,张建兵,"8,500(万元人民币)","农业、商业、医药、旅游、教育、新能源、生物科技、信息科技和公共设施建设的投资，股权投资（仅限以自有资产投资）；房地产开发经营；物业管理；房屋租赁；房地产中介服务；客房住宿、游泳、KTV、美发、茶座、浴室、咖啡室、酒吧；大型餐馆、中餐、西餐类制售、含凉菜、生食海产品、冷热饮品制售、裱花蛋糕；卷烟零售、雪茄烟零售；酒店管理；餐饮管理；会议及展览服务；日用百货、针纺织品、副食品、工艺美术品、文化用品、农副产品、泳装、鲜花销售；电脑打字、复印、传真；字画经营（文物除外）；票务代理、咨询；组织文化艺术交流活动",陕西,西安,"陕西省西安市莲湖区劳动南路中段东侧"
陕西铁路工程承包公司,91610000220529408P,1987-05-14,N/A,侯全德,"500(万)","新建铁路和铁路改、扩建、公路、工业民用建筑、桥梁、隧洞、地下、电力通讯、市政工程、园林绿化工程的设计、施工；设备清洗；机械设备租赁。",陕西,西安,"陕西省西安市雁塔区西影路2号"
中国农业银行股份有限公司乾县东关分理处,91610424563753233B,1987-05-14,N/A,李永峰,"N/A","吸收公众存款;发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；从事银行卡业务；代理收付款项及代理保险业务；代理资金清算；各类汇兑业务；外汇存款；外币兑换；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；代理开放式基金业务；电话银行、网上银行、手机银行业务；金融衍生产品交易业务；经中国银行业监督管理机构等监管部门批准的其他业务。",陕西,咸阳,"陕西省咸阳市乾县东环北路乾县福利塑料厂门前"
中国建设银行股份有限公司宝鸡新建路西段支行,91610302681563641H,1987-05-15,N/A,李勇,"N/A","办理人民币存款、贷款、结算业务，办理票据承兑和贴现；从事银行卡业务；办理电子银行业务；代理发行、兑付承销政府、金融债券；代理收付款项、投资基金业务、经中国银行业监督管理部门批准的其他业务；财产损失保险、责任保险、信用保险、保证保险、人寿保险、健康保险、意外伤害保险",陕西,宝鸡,"陕西省宝鸡市渭滨区新建路自来水公司门口(无门牌号)"
陕西富源进出口公司,91610000220531276B,1987-05-22,N/A,梁新涛,"272(万)","自营和代理除国家组织统一联合经营的16种出口商品和国家实行核定公司经营的14种进口商品以外的商品及技术的进口业务；开展“三来一补”、进料加工业务；经营对销贸易和转口贸易。",陕西,西安,"陕西省西安市碑林区南二环西段临1号汉庭酒店1101室"
西安雁塔轻化有限公司,91610113220732019F,1987-05-22,N/A,赵爱军,"300(万)","化工产品、化工原料、塑料及制品、橡胶及制品、轮胎、工程塑料、染料及染料中间体、三酸、二碱、工业用尿素、钢材、建筑材料、装饰材料、家用电器、普通机械及电器、水暖器材销售；精细化工产品研究、开发；机械设备化学清洗。",陕西,西安,"陕西省西安市雁塔区电子正街南延伸段万象春天DK-8地块3幢1单元16层11603号"
蒲城县农村物资供应公司,91610526222390155E,1987-05-24,N/A,刘新,"123(万)","机械、摩托车、汽车配件、电器设备、化工建筑材料、玻璃、钢材、木材、固体烧碱纯碱、高低压聚乙烯、聚丙稀、橡胶制品、五金交电、汽车（代销）、麻毡制品、防水保温材料（依法须经批准的项目，经相关部门批准后方可开展经营活动）",陕西,渭南,"陕西省渭南市蒲城县渭清路北段"
中国人民财产保险股份有限公司潼关支公司,916105227769573953,1987-05-26,N/A,梁师赢,"N/A","企业财产损失保险、家庭损失保险、建筑工程保险、安装工程保险、货物运输保险、机动车辆保险、船舶保险、能源保险、一般责任保险、保证保险、信用保险(出口信用险除外)、意外伤害保险、经中国保监会批准的其它财产保险业务。",陕西,渭南,"陕西省渭南市潼关县开发区兴隆街十字"
宝鸡市国力劳动服务公司,91610301221307663T,1987-06-10,N/A,巴明利,"52.7000(万)","针织品、纺织品、日用百货、服装、文化用品、五金、电工器材、票据帐表、农副产品（不含粮油、棉花）、电子产品、建筑材料的销售；其他印刷品印刷",陕西,宝鸡,"陕西省宝鸡市高新开发区火炬路东段"
西安中药集团高陵公司第三药店,916101177759263437,1987-06-27,N/A,王宏芳,"N/A","许可经营项目：化学药制剂；中成药；生化药品；抗生素；中药材；中药饮片；第一、二类医疗器械；三类：一次性使用无菌医疗器械零售;化妆品；保健食品、预包装食品的零售。",陕西,西安,"高陵县东方红路44号"
陕西华油建筑工程有限公司,91610000220913741E,1987-06-27,N/A,陈乃良,"15,000(万)","房屋建筑工程、地基与基础工程、建筑装修装饰工程、金属门窗工程、管道工程、防腐保温工程、钢结构工程、市政工程、消防设施工程、医疗环境工程、空气净化工程、洁净室系统工程、通风空调工程、生物环境安全工程的承包、施工及咨询服务类；木制品加工、低压配电柜、配电箱生产；物业管理；对外承包工程业务。",陕西,西安,"陕西省西安市高新区沣惠南路36号橡树街区A座2单元20703室"
岐山县电影发行放映公司,91610323435470976R,1987-06-29,N/A,成剑琛,"71(万)","电影发行，放映；文物复制，电器修理。",陕西,宝鸡,"陕西省宝鸡市岐山县城北大街"
眉县横渠供销合作社,91610326221520405Q,1987-07-01,集体所有制,齐继续,"72万人民币","百货、针织、棉布、烟酒副食(限分支机构经营)、调味品、日杂、五金交电、化工原料、图书、文具、农业生产资料、农副产品、土特山货批发、零售。",陕西,宝鸡,"陕西省宝鸡市眉县横渠街道"
