企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
新疆庆源实业集团有限公司,91650105710776305K,1999-01-01,N/A,孙志璜,"5,350(万)","资产管理及咨询服务。",新疆,乌鲁木齐,"新疆乌鲁木齐市水磨沟区温泉西路46号"
新疆阿克陶宇华实业发展有限责任公司,91653022229940930G,1999-01-01,N/A,张中杰,"500(万元人民币)","矿产资源勘查；畜牧业农产品的开发，砂石料的销售，销售蜂窝煤、煤球。",新疆,克孜勒苏柯尔克孜,"新疆克州阿克陶县清真寺路88号院"
喀什地区物华金属材料有限责任公司,91653101710823183U,1999-01-01,N/A,刘兵,"116.7500(万元人民币)","黑色金属及制品、有色金属、机电产品、金属产品加工、化工原料及产品、轻工产品、建料、五金、家电、机械设备、摩托车及配件。。",新疆,喀什,"新疆喀什地区喀什市远方建材市场A2区101号"
新疆军工进口汽车配件有限公司,91650100712965820W,1999-01-01,N/A,杜晓武,"2,650(万)","机动车辆保险（交强险除外）、交强险、意外伤害保险（限新疆军工进口汽车配件有限公司汽车服务分公司经营）；销售：汽车配件，汽车用品，橡胶制品，五金交电，化工产品，建材，百货，农副产品的销售；华晨金杯汽车；货物与技术的进出口业务；汽车装潢；汽车二级维护",新疆,乌鲁木齐,"新疆乌鲁木齐市新市区苏州东街183号"
新疆阿克苏地区强龙运输服务有限责任公司,916529007108939072,1999-01-01,N/A,徐建江,"50(万)","道路普通货物运输，货物专用运输（罐式容器），托运，信息咨询、机动车牌证代理",新疆,阿克苏,"新疆阿克苏地区阿克苏市南城区交通路14号强龙综合楼1栋201室"
库车县科兴煤炭实业有限责任公司,91650000229750870G,1999-01-02,N/A,李文江,"5,229.9800(万元人民币)","煤炭开采、加工及销售",新疆,阿克苏,"新疆阿克苏地区库车县阿格乡"
阿克苏市诚达棉机有限责任公司,91652901710813487E,1999-01-03,N/A,段丽君,"50(万)","棉机及配件；汽车配件；橡胶制品；电工器材；电器机械及器材；五金交电；金属材料；劳保用品；日用百货的零售；棉花加工机械安装；皮棉，棉纱，棉籽脱绒；农副产品购销",新疆,阿克苏,"新疆阿克苏地区阿克苏市建设路美家物流园A2-022号"
呼图壁县新润盐业有限责任公司,916523232292609867,1999-01-03,N/A,徐军,"50(万元人民币)","食盐批发、零售；预包装食品、散装食品零售；干鲜瓜果、日用杂品、塑料制品、化工原料",新疆,昌吉,"新疆昌吉州呼图壁县交警队西侧"
新疆黑眼睛广告有限公司,91650102712965679F,1999-01-03,N/A,赵敏,"100(万元人民币)","许可经营项目：无。一般经营项目：",新疆,乌鲁木齐,"乌鲁木齐市天山区新华南路764号华侨宾馆院内中旅家属楼底层"
乌鲁木齐市半边天家政服务有限公司,916501027129571939,1999-01-04,N/A,张萍,"50(万元人民币)","服务：家政服务，水、电、暖维修。",新疆,乌鲁木齐,"新疆乌鲁木齐市天山区新华南路28号"
库尔勒金陶建材有限责任公司,916528017129905081,1999-01-04,N/A,郭志强,"80(万)","批发零售：卫生间用品、水暖配件、建材、钢材、汽车配件、其他农畜产品、五金、其他机械设备及电子产品、其他化工产品，租赁：钢管扣件＊＊＊。",新疆,巴音郭楞,"新疆巴州库尔勒市天山东路绿洲市场内1栋26号房"
新疆朝阳商用数据传输有限公司,916501027129651505,1999-01-05,N/A,杨森,"626.2500(万)","计算机信息系统集成；计算机及配件、外围设备销售、维修；计算机软硬件开发、应用、销售及相关技术咨询、维修服务；商用数据传输服务；职业技能培训；会议及展览服务；信息系统工程；安全技术防范工程设计、施工、维修；装饰装修工程；软件开发、销售及售后服务；体育场馆施工；销售：教学仪器，实验设备，文化体育用品，健身器材，机电设备，电子产品、通讯设备、仪器仪表、影像视讯器材设备、办公设备、工具材料、文化用品。",新疆,乌鲁木齐,"新疆乌鲁木齐市天山区人民路38号新宏信大厦13层1315室"
哈密地区万安消防设备有限公司,916522007129651693,1999-01-05,N/A,毛立旺,"100(万)","消防器材、化工产品（不含危险品）、机电产品",新疆,哈密,"新疆哈密地区哈密市八一南路"
新疆华士服装有限公司,9165010071296537XF,1999-01-05,N/A,黄仲敏,"518(万)","销售：服装，日用品，皮革制品；服装设计",新疆,乌鲁木齐,"新疆乌鲁木齐市水磨沟区龙盛街898号万科中央公园S6楼1002室"
新疆库尔勒恒友市场房地产开发有限责任公司,9165280122950213XH,1999-01-05,N/A,陈江,"2,000(万元人民币)","房地产开发经营；房屋租赁，场地及柜台租赁，投资、工商咨询；供热服务；物业管理。",新疆,巴音郭楞,"新疆巴州库尔勒市交通东路南二巷(老液化气公司旁)"
新疆三青实业有限公司,91650100712951832F,1999-01-05,N/A,何强,"4,500(万元人民币)","项目投资；房屋租赁。",新疆,乌鲁木齐,"新疆乌鲁木齐市头屯河区王家沟铁金街119号2号楼二单元"
泽普县腾飞农业生产资料有限责任公司第一门市部,91653124710828654N,1999-01-06,N/A,许元林,"N/A","农药（剧毒（高毒）农药除外），化肥",新疆,喀什,"新疆喀什地区泽普县315国道旁"
泽普县腾飞农业生产资料有限责任公司第三门市部,916531247108286899,1999-01-06,N/A,许元林,"N/A","农药（剧毒",新疆,喀什,"新疆喀什地区泽普县奎依巴格镇"
乌鲁木齐市维德电力技术有限公司,91650104712956983B,1999-01-07,N/A,康政,"500(万)","电力技术推广服务，机电设备安装工程，电子工程，市政共用工程，工程机械设备及配件的安装及维护，保温材料生产、销售，电力新产品运用推广；五金交电，建材，矿山机械设备及配件的销售",新疆,乌鲁木齐,"新疆乌鲁木齐市新市区西环北路728号"
博尔塔拉蒙古自治州农业机械供应有限责任公司,91652701710793703U,1999-01-07,N/A,伊力克,"50.9000(万)","农用机械及件,农用金属工具,轻化建材,仪器仪表,五金交电,机电设备,金属材料,百货,新机动车(小轿车除外)销售,房屋租赁。。",新疆,博尔塔拉,"新疆博州博乐市北京路"
乌鲁木齐成业实业有限公司,91650100712957046T,1999-01-07,N/A,周广文,"5,000(万)","仪器仪表，化工原料，五金交电，电线电缆，化工产品，石油制品，轴承，阀门，泵及配件，建材，建筑材料，润滑油，塑料制品，铝制品，不锈钢制品，通讯器材，电子产品的销售；机械设备的设计、加工、安装、调试及技术服务；商务信息咨询；会展服务；石油钻采专用设备、通用零部件维修。。",新疆,乌鲁木齐,"新疆乌鲁木齐高新技术产业开发区(新市区)北京南路416号盈科国际29H室"
喀什嘉禾建筑工程有限公司,91653100738382965Y,1999-01-08,N/A,向洋志,"2,693(万元人民币)","建筑工程施工总承包贰级，建筑装修装饰工程专业承包",新疆,喀什,"新疆喀什地区喀什市团结路187号"
新疆盛隆盛商贸有限责任公司,91650109229250542W,1999-01-08,N/A,李春平,"50(万元人民币)","销售：五金交电、化工产品、日用百货、针纺织品、农畜产品、摩托车、通讯器材、文化体育用品；家用电器的销售、维修、安装。",新疆,乌鲁木齐,"新疆乌鲁木齐市米东区古牧地中路367号"
